# mass_1, mass_2, spin, p0, e0, x0, dist, qS, phiS, qK, phiK, Phi_phi0, Phi_theta0, Phi_r0
4323611.02891664,54.69393999936625,0.4193555794019499,8.67806123446356,0.08882266926977365,1.0,1.0,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,0.0,1.0471975511965976
4188335.8267327617,360.3747088718942,0.09810848706932823,12.988244067147413,0.7216743341516829,1.0,1.0,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,0.0,1.0471975511965976
1621079.2054168726,23.952004081684347,0.49259444491494075,10.702005106353026,0.4290746362063194,1.0,1.0,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,0.0,1.0471975511965976
337237.83118974033,1.4032829031702598,0.9070460537388833,10.7417128778684,0.16648635071195403,1.0,1.0,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,0.0,1.0471975511965976
237946.22921153234,0.35748647665742406,0.873340658894036,8.869482502441315,0.5781673315029233,1.0,1.0,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,0.0,1.0471975511965976
5077504.610788835,59.1249687168283,0.878522653690444,7.039646899208647,0.2640604339359345,1.0,1.0,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,0.0,1.0471975511965976
717251.3730465841,17.339564930439458,0.029459990749265995,15.338162437059399,0.11966107040675118,1.0,1.0,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,0.0,1.0471975511965976
506809.0459806933,11.722897365080916,0.9629604742818956,14.783593335465161,0.40868718124565,1.0,1.0,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,0.0,1.0471975511965976
1057655.9518663236,9.030475009315653,0.130587078568828,11.259669469458728,0.1853743375244491,1.0,1.0,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,0.0,1.0471975511965976
288628.0083704841,1.3363638016970407,0.6903296789199294,11.868560807054322,0.25242503011679457,1.0,1.0,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,0.0,1.0471975511965976
4485752.324336702,9.776572166320612,0.13952939705035078,7.782185532640343,0.6983250986450328,1.0,1.0,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,0.0,1.0471975511965976
300473.6700161265,5.477388526268731,0.9450994830908547,16.105012018322327,0.23710305778000684,1.0,1.0,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,0.0,1.0471975511965976
311273.00453744817,14.327414342590608,0.720736796285503,20.421382300793407,0.3291909992606279,1.0,1.0,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,0.0,1.0471975511965976
